year,record,age,grade,consideration,plan,attempt
2001,4052,12 or younger,12,yes,yes,no
2001,5969,14,9,no,no,yes
2001,7532,15,9,yes,no,no
2001,7534,15,9,yes,yes,no
2001,7535,15,9,no,no,yes
2001,9834,16,10,no,no,yes
2001,9835,16,10,no,no,yes
2001,9836,16,9,yes,no,no
2001,9838,16,10,yes,yes,no
2001,9839,16,10,no,no,yes
2001,12048,17,11,yes,no,yes
2001,12050,17,12,no,no,yes
2001,12051,17,12,no,yes,yes
2001,12052,17,10,no,no,yes
2001,12053,17,11,no,no,yes
2001,12054,17,11,yes,no,yes
2001,13938,18 or older,12,no,no,yes
2001,20996,12 or younger,12,no,no,yes
2001,20997,12 or younger,11,yes,no,yes
2001,21000,12 or younger,12,yes,yes,yes
2001,24883,13,9,no,no,yes
2001,24889,13,9,no,yes,no
2001,39660,14,9,no,no,yes
2001,39661,14,9,no,no,yes
2001,39662,14,9,no,no,yes
2001,39663,14,9,no,no,yes
2001,39664,14,9,no,no,yes
2001,39665,14,9,no,no,yes
2001,39666,14,9,no,no,yes
2001,39667,14,9,no,no,yes
2001,39668,14,9,no,no,yes
2001,39669,14,9,no,no,yes
2001,39670,14,9,no,no,yes
2001,39671,14,9,no,no,yes
2001,39672,14,9,no,no,yes
2001,39673,14,9,yes,yes,yes
2001,39674,14,9,no,no,yes
2001,39675,14,9,no,no,yes
2001,39676,14,9,no,no,yes
2001,39678,14,9,no,no,yes
2001,39679,14,9,no,no,yes
2001,39680,14,9,no,no,yes
2001,39681,14,9,no,no,yes
2001,39683,14,9,no,no,yes
2001,39684,14,9,no,no,yes
2001,39685,14,9,no,no,yes
2001,39686,14,9,no,no,yes
2001,39687,14,9,yes,no,yes
2001,39688,14,9,no,no,yes
2001,39689,14,9,no,no,yes
2001,39696,14,9,no,no,yes
2001,39697,14,9,no,no,yes
2001,39698,14,9,no,no,yes
2001,39700,14,9,no,no,yes
2001,39702,14,9,no,no,yes
2001,39703,14,9,no,no,yes
2001,39704,14,9,no,no,yes
2001,39705,14,9,no,no,yes
2001,39706,14,9,no,no,yes
2001,39707,14,9,no,no,yes
2001,39708,14,9,no,no,yes
2001,39709,14,9,no,no,yes
2001,39710,14,9,no,no,yes
2001,39711,14,9,no,no,yes
2001,39712,14,9,no,no,yes
2001,39713,14,9,no,no,yes
2001,39714,14,9,no,no,yes
2001,39716,14,9,no,no,yes
2001,39717,14,9,no,no,yes
2001,39719,14,9,no,no,yes
2001,39720,14,9,no,no,yes
2001,39721,14,10,no,no,yes
2001,39722,14,9,no,no,yes
2001,39723,14,9,no,no,yes
2001,39725,14,9,no,no,yes
2001,39726,14,9,no,no,yes
2001,39727,14,9,no,no,yes
2001,39728,14,9,no,no,yes
2001,39729,14,9,no,no,yes
2001,39731,14,9,no,no,yes
2001,39733,14,9,no,no,yes
2001,39734,14,9,no,no,yes
2001,39735,14,9,no,no,yes
2001,39736,14,9,no,yes,yes
2001,39737,14,9,no,no,yes
2001,39739,14,9,no,no,yes
2001,39741,14,9,no,no,yes
2001,39742,14,9,no,no,yes
2001,39743,14,9,yes,yes,no
2001,39744,14,9,no,no,yes
2001,39746,14,9,no,no,yes
2001,39747,14,9,no,no,yes
2001,39748,14,9,no,no,yes
2001,39749,14,9,yes,no,no
2001,39751,14,9,no,no,yes
2001,39752,14,9,no,no,yes
2001,39753,14,9,no,no,yes
2001,39754,14,9,yes,yes,no
2001,39755,14,9,no,yes,yes
2001,39756,14,9,yes,yes,yes
2001,39757,14,9,no,no,yes
2001,39758,14,9,no,no,yes
2001,39759,14,9,yes,yes,no
2001,39760,14,9,no,no,yes
2001,39761,14,9,no,no,no
2001,39762,14,9,no,no,yes
